EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Eje;Línea Descripción;Clase de vía;Tipo de asiento - Sobre Balasto;Estado Elemento Inventario;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
14119;Granollers Centre- VIA;TRMV - 79005 MONTCADA I REIXAC - VIA II/I DE MONTCADA I REIXAC;86236;VIA II/I DE MONTCADA I REIXAC;118,533;118,533;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/Mantenible;107468383;022700020;BIF. AIGÜES-MONTCADA I REIXAC                                                                                                   ;118,533;118,563
14119;Granollers Centre- VIA;TRMV - 79006 MOLLET-SANT FOST - BIF. AIGUES-POR BOU-CERBERE,II;200131;BIF. AIGUES-POR BOU-CERBERE,II;124,754;125,366;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/Mantenible;107458313;022700052;MOLLET-SANT FOST-MONTORNES-BUTANO                                                                                               ;125,015;131,1
14119;Granollers Centre- VIA;TRMV - 79008 MONTORNES-BUTANO - BIF. AIGUES-POR BOU-CERBERE,II;200131;BIF. AIGUES-POR BOU-CERBERE,II;130,918;131,204;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/Mantenible;107458315;022700060;MONTORNES-BUTANO-GRANOLLERS-CENTRE                                                                                              ;131,1;135,305
14119;Granollers Centre- VIA;TRMV - 79100 GRANOLLERS-CENTRE - VIA 1/2A DE GRANOLLERS-CENTRE;86258;VIA 1/2A DE GRANOLLERS-CENTRE;134,784;135,922;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/No Mantenible;107463106;022700060;MONTORNES-BUTANO-GRANOLLERS-CENTRE                                                                                              ;134,784;135,922
14119;Granollers Centre- VIA;TRMV - 79100 GRANOLLERS-CENTRE - VIA 1/2B DE GRANOLLERS-CENTRE;86270;VIA 1/2B DE GRANOLLERS-CENTRE;135,881;136,381;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/No Mantenible;107463116;022700060;MONTORNES-BUTANO-GRANOLLERS-CENTRE                                                                                              ;135,881;136,381
14119;Granollers Centre- VIA;TRMV - 79100 GRANOLLERS-CENTRE - VIA 1/3A DE GRANOLLERS-CENTRE;86259;VIA 1/3A DE GRANOLLERS-CENTRE;134,827;135,07;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/No Mantenible;107463107;022700060;MONTORNES-BUTANO-GRANOLLERS-CENTRE                                                                                              ;134,827;135,07
14119;Granollers Centre- VIA;TRMV - 79100 GRANOLLERS-CENTRE - VIA 1/3B DE GRANOLLERS-CENTRE;86263;VIA 1/3B DE GRANOLLERS-CENTRE;134,944;135,444;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/No Mantenible;107463110;022700060;MONTORNES-BUTANO-GRANOLLERS-CENTRE                                                                                              ;134,944;135,444
14119;Granollers Centre- VIA;TRMV - 79100 GRANOLLERS-CENTRE - VIA 2/10 DE GRANOLLERS-CENTRE;86260;VIA 2/10 DE GRANOLLERS-CENTRE;134,855;134,903;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/No Mantenible;107463108;022700060;MONTORNES-BUTANO-GRANOLLERS-CENTRE                                                                                              ;134,855;134,903
14119;Granollers Centre- VIA;TRMV - 79100 GRANOLLERS-CENTRE - VIA 2/1A DE GRANOLLERS-CENTRE;86256;VIA 2/1A DE GRANOLLERS-CENTRE;134,663;135,811;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/No Mantenible;107463104;022700060;MONTORNES-BUTANO-GRANOLLERS-CENTRE                                                                                              ;134,663;135,811
14119;Granollers Centre- VIA;TRMV - 79100 GRANOLLERS-CENTRE - VIA 2/1B DE GRANOLLERS-CENTRE;86268;VIA 2/1B DE GRANOLLERS-CENTRE;135,765;136,265;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/No Mantenible;107463114;022700060;MONTORNES-BUTANO-GRANOLLERS-CENTRE                                                                                              ;135,765;136,265
14119;Granollers Centre- VIA;TRMV - 79100 GRANOLLERS-CENTRE - VIA 3/1A DE GRANOLLERS-CENTRE;86257;VIA 3/1A DE GRANOLLERS-CENTRE;134,706;135,854;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/No Mantenible;107463105;022700060;MONTORNES-BUTANO-GRANOLLERS-CENTRE                                                                                              ;134,706;135,854
14119;Granollers Centre- VIA;TRMV - 79100 GRANOLLERS-CENTRE - VIA 3/1B DE GRANOLLERS-CENTRE;86269;VIA 3/1B DE GRANOLLERS-CENTRE;135,809;136,309;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/No Mantenible;107463115;022700060;MONTORNES-BUTANO-GRANOLLERS-CENTRE                                                                                              ;135,809;136,309
14119;Granollers Centre- VIA;TRMV - 79104 SANT CELONI - VIA 1/2B DE SANT CELONI LAD.FRANCI ;86287;VIA 1/2B DE SANT CELONI LAD.FRANCI ;157,434;157,506;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/No Mantenible;107465531;022700070;GRANOLLERS-CENTRE-SANT CELONI                                                                                                   ;157,434;157,506
14119;Granollers Centre- VIA;TRMV - 79200 MAÇANET-MASSANES - BIF. AIGUES-POR BOU-CERBERE,II;200131;BIF. AIGUES-POR BOU-CERBERE,II;175,325;176,705;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/Mantenible;107458326;022700100;MAÇANET-MASSANES-FORNELLS DE LA SELVA                                                                                           ;176,462;200,4
14120;Girona - VIA;TRMV - 79206 GIRONA-MERCADERIES - VIA 10 DE GIRONA-MERCADERIES;86319;VIA 10 DE GIRONA-MERCADERIES;202,354;202,92;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/Mantenible;107462318;022700115;FORNELLS DE LA SELVA-GIRONA-MERCADERIES                                                                                         ;202,354;202,92
