EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Eje;Línea Descripción;Subtipo;Estado Elemento Inventario;Modelo;Fabricante;Descripción Elemento Inventario;Fecha de Servicio;Matrícula;Fecha de fabricación;Observaciones;Fecha de instalación;Identificador Antecesores;Id. Raíz;Tipo Encarriladora;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
12104;Calatayud - VIA;EN-200010-248,633;200010;S. FERNANDO-MIRAFLORES, I (G1);248,633;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Sencilla;En Servicio/Mantenible;EN-54;;;;;;ENCARRILADORA - LARGA ELÁSTICA. EN-1-248,633;;S. FERNANDO-MIRAFLORES, I (G1)->EN-200010-248,633;100007255;Tipo Encarriladora - Larga de Tirafondos;100462620;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;244,627;272,252
12104;Calatayud - VIA;EN-200010-248,713;200010;S. FERNANDO-MIRAFLORES, I (G1);248,713;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Sencilla;En Servicio/Mantenible;EN-54;;RIO JALON - ANCHADA -;;;;ENCARRILADORA - LARGA ELÁSTICA. EN-1-248,713;;S. FERNANDO-MIRAFLORES, I (G1)->EN-200010-248,713;100007255;Tipo Encarriladora - Larga de Tirafondos;100462615;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;244,627;272,252
12104;Calatayud - VIA;EN-200010-249,848;200010;S. FERNANDO-MIRAFLORES, I (G1);249,848;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-1-249,848;;S. FERNANDO-MIRAFLORES, I (G1)->EN-200010-249,848;100007255;Tipo Encarriladora - Larga de Tirafondos;100462616;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;244,627;272,252
12104;Calatayud - VIA;EN-200010-249,907;200010;S. FERNANDO-MIRAFLORES, I (G1);249,907;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Sencilla;En Servicio/Mantenible;EN-54;;;;;;Encarriladora - Larga de tirafondos . EN-1-249,907;;S. FERNANDO-MIRAFLORES, I (G1)->EN-200010-249,907;100007255;Tipo Encarriladora - Larga de Tirafondos;100462617;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;244,627;272,252
12104;Calatayud - VIA;EN-200010-251,115;200010;S. FERNANDO-MIRAFLORES, I (G1);251,115;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Sencilla;En Servicio/Mantenible;EN-54;;;;60,995,300;;Encarriladora - larga elastica . EN-1-251,103;;S. FERNANDO-MIRAFLORES, I (G1)->EN-200010-251,115;100007255;Tipo Encarriladora - Larga Elástica;100462632;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;244,627;272,252
12104;Calatayud - VIA;EN-200010-251,182;200010;S. FERNANDO-MIRAFLORES, I (G1);251,182;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Sencilla;En Servicio/Mantenible;EN-54;;;;60.995.300;;Encarriladora larga - elastica . EN-1-251,198;;S. FERNANDO-MIRAFLORES, I (G1)->EN-200010-251,182;100007255;Tipo Encarriladora - Larga Elástica;100462633;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;244,627;272,252
12104;Calatayud - VIA;EN-200010-251,888;200010;S. FERNANDO-MIRAFLORES, I (G1);251,888;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Sencilla;En Servicio/Mantenible;EN-54;;Encarriladora dcha;12/06/2021;618050300;;"Nº 15-9724
Encarriladora  larga elastica EN-1-251,888";12/06/2021;S. FERNANDO-MIRAFLORES, I (G1)->EN-200010-251,888;100007255;Tipo Encarriladora - Larga de Tirafondos;100462630;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;244,627;272,252
12104;Calatayud - VIA;EN-200010-251,957;200010;S. FERNANDO-MIRAFLORES, I (G1);251,957;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Sencilla;En Servicio/Mantenible;EN-54;;;13/06/2021;61805301;;"Nº 15-9722
Encarriladora lara elastica
. EN-1-251,957";13/06/2021;S. FERNANDO-MIRAFLORES, I (G1)->EN-200010-251,957;100007255;Tipo Encarriladora - Larga de Tirafondos;100462631;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;244,627;272,252
12104;Calatayud - VIA;EN-200010-252,845;200010;S. FERNANDO-MIRAFLORES, I (G1);252,845;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Sencilla;En Servicio/Mantenible;EN-54;;;;60.995.300;;Encarriladora - larga elástica. EN-1-252,845;;S. FERNANDO-MIRAFLORES, I (G1)->EN-200010-252,845;100007255;Tipo Encarriladora - Larga Elástica;100462628;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;244,627;272,252
12104;Calatayud - VIA;EN-200010-252,918;200010;S. FERNANDO-MIRAFLORES, I (G1);252,918;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Sencilla;En Servicio/Mantenible;EN-54;;;;60.995.300;;Encarriladora - larga elástica. EN-1-252,918;;S. FERNANDO-MIRAFLORES, I (G1)->EN-200010-252,918;100007255;Tipo Encarriladora - Larga Elástica;100462629;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;244,627;272,252
