EQM1 Código;EQM1;EQM2 Código;EQM2;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Eje;Línea Descripción;Tipo;Estado Elemento Inventario;Modelo;Descripción Elemento Inventario;Escape;Entreeje (sólo escapes) (mm);Posicionado en Curva;Orientación;Mano;Fecha de Modificación;Coordenada X ED50-HUSO 30 EXTENDIDO;Coordenada Y ED50-HUSO 30 EXTENDIDO;Id. Inventario;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
13122;Monzon - VIA;;;DS-3-78300 (SELGUA);86032;VIA 3 DE SELGUA;123,178;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-A-54-320/400-0,09-CR-D;Selgua Desvio 3;No;;No;Punta;Derecha;17/04/2014;;;100671692;SARIÑENA-SELGUA                                                                                                                 ;122,481;123,467
13122;Monzon - VIA;;;DS-3-78305 (RAIMAT);86063;VIA IV DE RAIMAT;165,576;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-A-54-320/241-0,11-CR-D;Raimat Desvio 3;No;;No;Talón;Derecha;20/01/2025;;;100672396;ALMACELLES-LLEIDA-PIRINEUS                                                                                                      ;164,794;165,624
14120;Girona - VIA;;;DS-3-79300 (GIRONA);200071;BIF. AIGUES -PORT BOU-CERBERE,I;204,683;;270;2 ;CERBERE - BIF. ARAGO;Desvío mixto 2 anchos con corazón de punta fija;En Servicio/Mantenible;DRMDH-G-60-250-0,11-CR-D-TC;;Sí;;No;Talón;Derecha;28/10/2024;98192418,26;466332732,52;100683022;GIRONA-MERCADERIES-GIRONA                                                                                                       ;202,613;205,572
14121;Port Bou;;;DS-3-79312 (LLANÇA);86444;VIA 12 DE LLANÇA;266,126;;270;2 ;CERBERE - BIF. ARAGO;Desvío sencillo con corazón de punta fija;En Servicio/No Mantenible;DS-A-RN 45´-320/245-0,11-CR-I;;No;;No;Punta;Izquierda;25/10/2024;;;957872;FIGUERES-PORTBOU                                                                                                                ;266,097;266,553
14118;Mataro - VIA;;;DS-3-79500 (MATARO);3380;BIF. SAGRERA-AG.KM. 108,0-MATARO, II;133,001;;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;;En Servicio/Mantenible;;;No;;No;Talón;Izquierda;21/01/2014;;;100685649;MATARO - BIF. SAGRERA-AG.KM. 108,0                                                                                              ;108,077;135,569
14118;Mataro - VIA;;;DS-3-79606 (BLANES);3400;MATARO-MATARO-MASSANET, I;59,855;;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DSH-P1-60-250-0,11-CR-D-TC;;No;;No;Punta;Derecha;25/04/2024;98044814,68;462960677,91;100674875;BLANES - CALELLA                                                                                                                ;48,724;60,103
12123;Alagon-VIA;;;DS-3-81207 (LUCENI);2210;CASETAS-CASTEJON DE EBRO, II;37,249;;700;1 ;INT. ABANDO IND. PRIETO-CASETAS;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-54-318-0,09-CR-I;;No;;No;Talón;Izquierda;06/10/2015;64617268,94;463201808,83;100682135;CABAÑAS DE EBRO-CORTES DE NAVARRA                                                                                               ;29,901;53,4
12123;Alagon-VIA;;;DS-3-81210 (ALAGON);2200;CASETAS-CASTEJON DE EBRO, I;24,401;;700;1 ;INT. ABANDO IND. PRIETO-CASETAS;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-54-318-0,09-CR-D;;No;;No;Talón;Derecha;14/10/2008;65734658,09;462610521,69;100682131;CASETAS-CABAÑAS DE EBRO                                                                                                         ;14,446;29,901
12105;Ricla-La Almunia - VIA;;;DS-4-70706 (GRISEN);85172;VIA 3B DE GRISEN;313,988;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-A-54-320/400-0,09-CR-D;Desvio nº 4 de Grisen;No;;No;Talón;Derecha;17/02/2025;;;256928;CAMBIADOR PLASENCIA AG. KM. 308,6-GRISEN                                                                                        ;313,147;313,988
12108;Caspe - VIA;;;DS-4-71105 (QUINTO);2400;MIRAFLORES-REUS, U;384,099;;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;;En Servicio/Mantenible;;;No;;No;Punta;Derecha;18/02/2020;70968998,83;458883319,31;100669644;LA CARTUJA-AGUJA KM. 351,1-LA ZAIDA-SASTAGO                                                                                     ;351,1;396,825
