EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Eje;Línea Descripción;Denominación;Estado Elemento Inventario;Plan de autoprotección ;Descripción Elemento Inventario;"	Número de vías que contiene el túnel ";Longitud (m);Identificador Antecesores;Id. Raíz;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
14117;Ripoll - VIA;TU - nº 19 Artificial - 222 - 17,178;3610;RIPOLL-LA TOUR DE CAROL, U;17,178;17,286;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 19 Artificial;En Servicio/Mantenible;No;nº 19 Artificial;1;108,;TU - nº 19 Artificial - 222 - 17,178;107095342;107095342;022220080;RIBES DE FRESER-PLANOLES                                                                                                        ;13,45;20,21
14117;Ripoll - VIA;TU - nº 20 Artificial - 222 - 17,409;3610;RIPOLL-LA TOUR DE CAROL, U;17,409;17,506;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 20 Artificial;En Servicio/Mantenible;No;nº 20 Artificial;1;97,;TU - nº 20 Artificial - 222 - 17,409;107095341;107095341;022220080;RIBES DE FRESER-PLANOLES                                                                                                        ;13,45;20,21
14117;Ripoll - VIA;TU - nº 22 Artificial - 222 - 18,102;3610;RIPOLL-LA TOUR DE CAROL, U;18,102;18,283;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 22 Artificial;En Servicio/Mantenible;No;nº 22 Artificial;1;181,;TU - nº 22 Artificial - 222 - 18,102;107095208;107095208;022220080;RIBES DE FRESER-PLANOLES                                                                                                        ;13,45;20,21
14117;Ripoll - VIA;TU - nº 38 del Crenat - 222 - 36,676;3610;RIPOLL-LA TOUR DE CAROL, U;36,676;36,927;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 38 del Crenat;En Servicio/Mantenible;No;nº 38 del Crenat;1;251,;TU - nº 38 del Crenat - 222 - 36,676;107095344;107095344;022220090;PLANOLES-PUIGCERDA                                                                                                              ;20,21;48,6
14117;Ripoll - VIA;TU - nº 5 Artificial  - 222 - 11,205;3610;RIPOLL-LA TOUR DE CAROL, U;11,205;11,248;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 5 Artificial ;En Servicio/Mantenible;Sí;nº 5 Artificial ;1;43,;TU - nº 5 Artificial  - 222 - 11,205;107095322;107095322;022220070;RIPOLL-RIBES DE FRESER                                                                                                          ;0,;13,45
14117;Ripoll - VIA;TU - nº 7 de Angelats - 222 - 11,825;3610;RIPOLL-LA TOUR DE CAROL, U;11,825;11,969;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 7 de Angelats;En Servicio/Mantenible;Sí;nº 7 de Angelats;1;144,;TU - nº 7 de Angelats - 222 - 11,825;107095377;107095377;022220070;RIPOLL-RIBES DE FRESER                                                                                                          ;0,;13,45
12111;Huesca - VIA;TU - Castiello (Carol) - 204 - 10,913;2520;JACA-CANFRANC, U;10,913;11,781;204;2 ;BIF. CANFRANC - CANFRANC;Castiello (Carol);En Servicio/Mantenible;No;Castiello (Carol);1;868,;TU - Castiello (Carol) - 204 - 10,913;107094506;107094506;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12108;Caspe - VIA;TU - La Punta de Roya - 210 - 445,293;2400;MIRAFLORES-REUS, U;445,293;445,332;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;La Punta de Roya;En Servicio/Mantenible;No;La Punta de Roya;1;39,;TU - La Punta de Roya - 210 - 445,293;107095296;107095296;022100080;ESCATRON-CASPE                                                                                                                  ;430,355;453,043
12105;Ricla-La Almunia - VIA;TU - Peña de la Viuda - 200 - 275,285;200010;S. FERNANDO-MIRAFLORES, I (G1);275,285;275,413;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Peña de la Viuda;En Servicio/Mantenible;No;Peña de la Viuda;1;128,;TU - Peña de la Viuda - 200 - 275,285;107095289;107095289;022000200;MORATA DE JALON-RICLA-LA ALMUNIA                                                                                                ;272,252;280,448
13121;Lleida - VIA;TU - Salas de Pallas 3 - 893 - 83,095;2600;PK. 1,927 - LA POBLA DE SEGUR, U;83,095;83,526;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;Salas de Pallas 3;En Servicio/No Mantenible;No;Salas de Pallas 3;1;431,;TU - Salas de Pallas 3 - 893 - 83,095;107094826;107094826;;;;
