EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Descripción;Subtipo;Modelo;Estado Elemento Inventario;Radio del aparato;Descripción Elemento Inventario;Número Ap. De Vía;Fecha de Servicio;Fecha de Modificación;Usuario de Modificación;Código Estación Inicio;Estación Inicio;Identificador Antecesores;Id. Raíz;Travesía;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
14112;Montcada Bifurcaçiò - VIA;-19-21-B7183 (BIF.GLORIAS-CLOT);3320;VIA 1 DE BIF. CLORIAS CLOT;109,007;;276;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;;TSU-A-54-0,11;En Servicio/Mantenible;;;19-21;;18/12/2022;1341288;B7183;BIF.GLORIAS-CLOT;-19-21-B7183 (BIF.GLORIAS-CLOT);964462;Travesía - TSU-A-54-0.11;964462;022000575;BIF. ARAGO - BIF.GLORIAS-CLOT                                                                                                   ;108,929;109,1
13121;Lleida - VIA;TUD-16P-78400 (LLEIDA-PIRINEUS);86092;VIA 6P-6PA DE LLEIDA-PIRINEUS;185,983;185,979;220;LLEIDA-PIRINEUS - BIF. VILANOVA;Travesía Unión Doble TUD;;En Servicio/Mantenible;;Pla de Vilanoveta Travesía 16A/16B;16P;;13/02/2023;8967895;78400;LLEIDA-PIRINEUS;TUD-16P-78400 (LLEIDA-PIRINEUS);100668997;Travesía - TUS-A-RN 45-0,09;100668997;;;;
13121;Lleida - VIA;TUD-T19-78400 (LLEIDA-PIRINEUS);601828;VIA 6 DE LLEIDA-PIRINEUS;183,704;;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Travesía Unión Doble TUD;TUD-B1-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;T19;;14/10/2008;CNV;78400;LLEIDA-PIRINEUS;TUD-T19-78400 (LLEIDA-PIRINEUS);100681028;Travesía - TUD-B1-54-225-0,11;100681028;022000400;ALMACELLES-LLEIDA-PIRINEUS                                                                                                      ;183,034;183,845
14113;Martorell - VIA;TUD-23-72209 (MARTORELL CENTRAL);604007;VIA 5 DE MARTORELL;73,47;;240;S.VICENÇ CALDERS - L HOSPITALET DE LLOBREGAT;Travesía Unión Doble TUD;TUS-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;23;;13/02/2024;1343078;72209;MARTORELL CENTRAL;TUD-23-72209 (MARTORELL CENTRAL);100680707;Travesía - TUS-A-54-320/225-0.11;100680707;022400060;AGUJA KM. 71,185-MARTORELL CENTRAL                                                                                              ;73,194;73,483
12105;Ricla-La Almunia - VIA;TUD-T-10-70607 (MORATA DE JALON);601490;VIA 10 DE MORATA DE JALON;271,98;;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;Fuera de Servicio/No Mantenible;320/225;Travesia de Unión Doble ;T-10;;25/02/2025;E642596;70607;MORATA DE JALON;TUD-T-10-70607 (MORATA DE JALON);100685314;Travesía - TUD-A-45'-320/244-0,11;100685314;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;271,914;272,223
12106;Zaragoza - VIA;TUD-21-70803 (C.I.M. DE ZARAGOZA);200100;RICLA-ALMUNIA-ZARAGOZA DELICIAS, II;336,46;;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Travesía Unión Doble TUD;;En Servicio/Mantenible;;;21;;06/07/2017;8676587;70803;C.I.M. DE ZARAGOZA;TUD-21-70803 (C.I.M. DE ZARAGOZA);986107;;986107;022000250;C.I.M. DE ZARAGOZA-CIM-AG. KM.337,1                                                                                             ;335,563;337,1
14112;Montcada Bifurcaçiò - VIA;TUD-7-78800 (MONTCADA-BIFURCACIO);2800;MANRESA-MONTCADA BIF.- BIF.VILANOVA, I;357,02;;220;LLEIDA-PIRINEUS - BIF. VILANOVA;Travesía Unión Doble TUD;TUD-B1-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;7;;12/03/2020;CNV;78800;MONTCADA-BIFURCACIO;TUD-7-78800 (MONTCADA-BIFURCACIO);100685465;Travesía - TUD-B-54-320/225-0.11;100685465;022200090;MONTCADA-BIFURCACIO-BIF.VILANOVA                                                                                                ;356,707;365,216
14111;L Hospitalet - VIA;TUD-8-71901 (BARCELONA-CAN TUNIS);3190;AG 11 CASTELLBISBAL AGUJAS LLOBREGAT- BARCELONA MORROT, I, (ANCHO MIXTO);20,322;;238;CASTELLBISBAL-AGUJAS LLOBREGAT - BARCELONA-MORROT;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;8;;05/03/2020;1343078;71901;BARCELONA-CAN TUNIS;TUD-8-71901 (BARCELONA-CAN TUNIS);964646;Travesía - TUD-A-54-320/225-0.11;964646;022380020;RIU LLOBREGAT-BARCELONA-CAN TUNIS                                                                                               ;6,18;20,5
14112;Montcada Bifurcaçiò - VIA;TUD-9-78800 (MONTCADA-BIFURCACIO);950022;VIA 4 DE MONTCADA-BIFURCACIO;356,977;;220;LLEIDA-PIRINEUS - BIF. VILANOVA;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;9;;12/03/2020;CNV;78800;MONTCADA-BIFURCACIO;TUD-9-78800 (MONTCADA-BIFURCACIO);100685430;Travesía - TUD-A-54-320/225-0.11;100685430;022200080;CERDANYOLA DEL VALLES-MONTCADA-BIFURCACIO                                                                                       ;355,834;357,07
12106;Zaragoza - VIA;TUS-23-70803 (C.I.M. DE ZARAGOZA);200100;RICLA-ALMUNIA-ZARAGOZA DELICIAS, II;336,416;;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Travesía Unión Sencilla TUS;;En Servicio/Mantenible;;;23;21/05/2018;24/10/2018;8986077;70803;C.I.M. DE ZARAGOZA;TUS-23-70803 (C.I.M. DE ZARAGOZA);100682366;Travesía - TUD-B-54-320/225-0.11;100682366;022000250;C.I.M. DE ZARAGOZA-CIM-AG. KM.337,1                                                                                             ;335,563;337,1
14111;L Hospitalet - VIA;TUD-10-71901 (BARCELONA-CAN TUNIS);3190;AG 11 CASTELLBISBAL AGUJAS LLOBREGAT- BARCELONA MORROT, I, (ANCHO MIXTO);20,361;;238;CASTELLBISBAL-AGUJAS LLOBREGAT - BARCELONA-MORROT;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;10;;05/03/2020;1343078;71901;BARCELONA-CAN TUNIS;TUD-10-71901 (BARCELONA-CAN TUNIS);964650;Travesía - TUD-A-54-320/225-0.11;964650;022380020;RIU LLOBREGAT-BARCELONA-CAN TUNIS                                                                                               ;6,18;20,5
14112;Montcada Bifurcaçiò - VIA;TUD-15-78800 (MONTCADA-BIFURCACIO);2800;MANRESA-MONTCADA BIF.- BIF.VILANOVA, I;356,886;;220;LLEIDA-PIRINEUS - BIF. VILANOVA;Travesía Unión Doble TUD;TUD-B1-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;15;;12/03/2020;CNV;78800;MONTCADA-BIFURCACIO;TUD-15-78800 (MONTCADA-BIFURCACIO);100685459;Travesía - TUD-B-54-320/225-0.11;100685459;022200090;MONTCADA-BIFURCACIO-BIF.VILANOVA                                                                                                ;356,707;365,216
